account_age_months,avg_orders_per_month,avg_order_value,returns_rate,support_tickets_6m,reviews_submitted,website_visits_per_month,cart_abandonment_rate,loyalty_member,payment_failures_12m,device_type,discount_usage_rate,days_since_last_active,satisfaction_score,churn
21.0,4.33,18.89,0.188,1,9,12,0.611,0,1,2,0.0,46,8,1
20.0,3.04,71.79,0.173,3,4,18,0.421,0,0,2,0.678,34,9,0
15.0,3.55,106.03,0.122,4,9,13,0.722,1,0,3,0.412,85,4,0
28.0,4.92,91.66,0.0,0,3,8,0.751,0,0,2,0.0,107,6,0
44.0,0.43,69.86,0.096,1,1,2,0.941,0,1,2,0.25,1,6,1
26.0,4.62,16.78,0.076,0,6,12,0.712,0,1,2,0.252,3,6,0
36.0,1.86,39.09,0.166,6,7,4,0.732,0,0,1,0.076,1,6,1
7.0,5.19,91.7,0.028,7,2,8,0.769,0,2,1,0.448,39,3,1
26.0,3.67,16.72,0.192,2,4,13,0.0,1,0,2,0.842,12,6,0
11.0,2.58,63.86,0.177,3,3,3,0.677,0,0,2,0.243,50,2,1
6.0,1.82,76.34,0.0,0,0,9,0.802,0,1,1,0.512,30,7,0
15.0,4.65,115.25,0.082,3,0,2,0.646,1,2,2,0.06,19,9,0
38.0,5.52,96.51,0.096,1,2,6,0.498,1,2,3,0.475,1,6,0
35.0,1.93,108.7,0.18,6,6,5,0.459,0,2,1,0.623,27,4,1
27.0,0.73,85.56,0.045,1,6,15,0.591,0,0,1,0.2,1,10,0
6.0,4.39,45.41,0.117,0,0,9,0.573,1,1,1,0.0,1,9,0
22.0,0.1,53.52,0.188,0,0,4,0.641,0,0,2,0.633,91,6,1
28.0,0.39,42.36,0.12,3,0,6,0.601,0,1,3,0.0,9,6,1
26.0,0.87,95.68,0.0,0,0,14,0.726,1,0,1,0.455,73,10,0
2.0,2.17,50.71,0.06,6,0,1,0.338,1,0,2,0.707,95,9,1
13.0,0.33,61.21,0.172,4,0,3,0.76,1,0,1,0.066,35,6,1
23.0,0.0,75.79,0.162,2,0,2,0.854,0,1,3,0.113,73,7,1
30.0,0.73,132.45,0.0,4,0,9,0.265,1,1,1,0.44,92,10,0
1.0,4.28,98.0,0.116,7,0,9,0.513,1,0,1,0.363,1,7,0
22.0,0.46,47.95,0.176,0,6,7,0.769,0,0,3,0.238,82,5,1
26.0,2.32,80.31,0.143,0,14,8,0.684,1,1,3,0.525,94,6,0
34.0,6.89,132.8,0.152,8,9,1,0.37,0,0,3,0.0,87,3,0
32.0,2.9,96.53,0.265,0,4,2,0.719,0,3,3,0.485,111,3,1
31.0,3.69,19.06,0.097,4,1,12,0.225,0,3,1,0.475,34,6,1
14.0,1.11,42.97,0.124,6,2,1,0.7,0,0,3,0.129,14,5,1
1.0,7.33,40.28,0.025,2,3,6,0.869,1,1,1,0.626,42,8,0
19.0,1.92,125.43,0.049,4,9,14,0.595,0,3,2,0.331,1,9,0
36.0,2.54,118.97,0.073,1,0,9,0.761,0,1,1,0.439,14,8,0
41.0,5.63,53.12,0.168,7,3,4,0.667,1,1,2,0.0,55,6,1
33.0,2.64,52.37,0.04,1,3,12,0.45,0,0,2,0.0,11,9,0
29.0,3.1,76.56,0.199,0,3,4,0.487,1,1,1,0.257,35,4,0
29.0,2.44,77.61,0.013,5,0,8,0.538,1,0,2,0.214,1,6,0
17.0,2.45,41.32,0.151,4,2,3,0.551,0,2,2,0.127,41,3,1
22.0,3.74,66.28,0.144,2,0,1,0.833,0,0,3,0.468,54,6,0
44.0,4.11,24.12,0.121,2,10,7,0.898,0,1,2,0.382,32,9,0
13.0,1.71,119.53,0.179,1,5,15,0.773,0,0,2,0.0,37,5,0
43.0,1.47,13.39,0.041,0,6,15,0.896,1,0,2,0.622,1,8,0
20.0,1.78,13.0,0.063,0,0,12,0.656,0,1,2,0.249,1,6,0
40.0,0.2,90.23,0.023,3,2,12,0.066,1,0,1,0.092,102,7,0
7.0,0.0,31.71,0.101,1,9,13,0.601,0,1,3,0.426,58,7,1
31.0,3.59,57.47,0.09,0,6,7,0.445,0,2,1,0.738,36,10,0
15.0,4.88,77.21,0.169,1,4,1,0.734,0,0,2,0.0,90,7,0
7.0,4.74,98.64,0.131,1,7,9,0.572,0,1,2,0.046,29,7,0
27.0,0.0,67.26,0.155,4,9,14,0.663,0,3,3,0.373,1,7,1
36.0,2.51,137.27,0.084,3,8,13,0.61,0,0,2,0.335,21,7,0
14.0,0.8,74.98,0.132,7,6,9,0.49,1,0,2,0.587,56,4,1
6.0,3.29,116.68,0.245,0,6,10,0.432,0,3,3,0.399,1,6,0
23.0,2.16,84.75,0.0,4,2,1,0.502,0,1,3,0.0,64,7,0
23.0,4.18,149.59,0.0,4,4,17,0.688,1,2,2,0.002,1,6,0
31.0,2.96,112.04,0.151,3,5,7,0.875,0,1,1,0.096,88,5,0
35.0,0.0,76.52,0.032,1,4,1,0.688,0,0,1,0.546,22,5,0
23.0,1.07,97.01,0.0,0,5,7,1.0,0,0,1,0.224,1,8,0
46.0,3.01,65.87,0.143,2,3,8,0.727,0,1,2,0.289,24,6,0
27.0,3.18,65.52,0.02,0,0,11,0.644,0,0,2,0.396,1,8,0
20.0,0.19,29.38,0.223,0,5,8,0.828,0,2,3,0.746,27,7,1
5.0,0.0,46.71,0.113,0,3,5,0.314,0,1,2,0.103,3,4,0
21.0,3.11,147.13,0.084,4,3,5,0.471,0,1,1,0.033,18,9,0
20.0,0.19,32.86,0.034,4,10,8,0.723,0,0,2,0.269,1,7,1
36.0,0.0,52.06,0.117,0,4,7,0.455,0,0,2,0.111,20,4,0
30.0,2.11,71.72,0.0,0,1,20,0.887,1,4,2,0.103,49,6,0
10.0,2.02,72.89,0.0,0,5,6,0.502,1,1,2,0.227,36,5,0
26.0,1.24,88.43,0.0,5,3,3,0.764,0,2,2,0.512,35,7,1
32.0,1.59,58.58,0.191,5,6,15,0.621,1,1,1,0.258,1,9,1
42.0,3.03,90.59,0.026,4,1,8,0.989,1,2,1,0.439,27,8,0
35.0,1.56,114.98,0.0,7,1,13,0.748,0,2,3,0.018,123,8,1
33.0,3.14,119.33,0.093,7,1,7,0.718,0,0,1,0.78,48,7,1
25.0,2.24,65.64,0.278,0,0,12,0.529,0,0,1,0.349,82,6,1
29.0,3.34,96.4,0.187,1,2,16,0.486,0,0,3,0.246,66,5,0
39.0,4.76,34.89,0.036,4,8,17,0.614,0,0,2,0.0,18,9,0
8.0,4.68,49.74,0.035,0,1,13,0.712,0,2,1,0.313,53,9,0
20.0,5.58,33.92,0.036,1,0,1,0.668,0,0,3,0.364,1,10,0
15.0,4.68,73.4,0.027,5,1,1,0.31,1,1,1,0.249,30,7,0
29.0,3.48,44.93,0.144,1,4,10,0.533,1,2,1,0.424,1,7,0
39.0,2.13,21.78,0.073,4,1,1,0.665,0,0,2,0.366,36,5,1
17.0,2.22,61.49,0.011,0,3,1,0.408,0,1,2,0.069,1,5,0
1.0,1.24,14.5,0.0,3,4,13,0.681,0,4,3,0.574,48,4,1
19.0,3.01,121.45,0.284,1,3,4,0.512,0,0,3,0.267,24,2,1
35.0,4.39,55.49,0.159,1,3,5,0.718,1,0,3,0.359,151,8,0
30.0,1.55,109.49,0.032,0,8,6,0.556,0,0,3,0.649,78,6,0
29.0,2.93,57.78,0.197,7,4,15,0.61,0,1,2,0.043,99,2,1
21.0,1.65,33.18,0.008,2,1,16,0.635,1,2,2,0.296,1,9,0
9.0,3.42,116.14,0.089,2,5,22,0.706,1,0,2,0.25,45,5,0
30.0,1.9,78.1,0.08,8,3,13,0.771,0,0,3,0.0,26,8,1
14.0,1.52,141.04,0.115,0,3,17,0.363,0,2,2,0.369,88,10,0
50.0,1.64,58.67,0.025,2,6,4,0.596,0,0,1,0.853,1,4,0
31.0,4.01,59.43,0.11,0,7,1,0.628,1,1,1,0.477,1,3,0
17.0,2.81,110.17,0.0,0,0,12,1.0,1,3,2,0.284,1,5,0
17.0,2.14,110.41,0.07,3,8,7,0.78,0,1,1,0.0,58,8,0
23.0,3.52,80.37,0.207,1,3,18,0.624,0,2,2,0.361,1,5,0
21.0,2.17,191.73,0.182,8,3,6,0.354,0,2,2,0.0,60,4,1
37.0,5.25,65.18,0.044,7,0,4,0.563,1,0,3,0.512,6,5,0
26.0,1.05,30.57,0.0,2,5,6,1.0,1,0,2,0.138,35,5,0
15.0,2.63,39.91,0.0,0,0,8,0.301,0,3,1,0.282,1,5,0
47.0,0.19,65.38,0.149,1,5,8,0.558,0,0,1,0.353,37,5,1
25.0,2.31,128.16,0.122,5,8,9,0.864,1,2,1,0.182,41,8,1
33.0,0.0,68.48,0.131,0,2,16,1.0,0,1,1,0.477,1,7,0
17.0,4.49,129.81,0.235,7,6,1,0.561,1,2,2,0.578,75,4,1
28.0,4.53,90.2,0.112,4,3,13,0.725,1,0,1,0.078,1,5,0
28.0,4.57,112.92,0.118,0,0,12,0.797,1,0,2,0.654,29,6,0
1.0,3.06,88.55,0.0,0,3,10,0.74,0,0,3,0.667,25,9,0
48.0,1.24,88.27,0.23,0,2,11,0.663,0,1,2,0.691,1,8,0
39.0,1.4,101.34,0.087,0,6,5,0.88,1,0,3,0.036,30,5,0
19.0,6.06,55.17,0.035,0,2,1,0.842,0,3,1,0.145,30,5,0
11.0,5.87,55.55,0.117,0,4,10,0.7,0,4,2,0.329,22,7,0
28.0,3.25,87.23,0.26,1,0,5,0.949,1,0,2,0.147,1,6,1
25.0,1.97,142.94,0.271,6,4,11,0.638,1,0,2,0.663,6,7,1
28.0,5.74,21.07,0.022,3,3,6,0.647,1,3,1,0.0,1,6,0
26.0,1.61,10.0,0.194,3,3,13,0.56,1,0,3,0.406,8,3,1
30.0,3.46,65.77,0.127,3,3,14,0.128,1,1,1,0.506,38,9,0
41.0,5.7,111.08,0.179,0,2,14,0.652,1,4,2,0.46,1,9,0
31.0,1.33,76.8,0.122,5,3,16,0.64,1,1,3,0.317,25,3,1
11.0,4.66,34.07,0.149,1,2,8,0.368,0,1,2,0.597,29,1,1
40.0,4.04,77.77,0.206,1,0,14,0.467,0,1,2,0.62,1,5,0
44.0,2.92,14.35,0.0,3,0,6,0.806,0,2,1,0.23,16,4,1
62.0,1.01,97.01,0.129,9,2,5,0.336,0,0,3,0.087,1,7,1
11.0,1.55,64.18,0.006,0,2,8,0.597,0,2,3,0.087,69,8,0
27.0,3.58,72.13,0.063,0,0,16,0.774,0,0,3,0.026,48,5,0
1.0,0.15,89.95,0.1,3,3,7,0.381,1,0,3,0.107,1,10,1
31.0,3.26,82.2,0.019,4,10,13,0.619,0,0,1,0.605,1,10,0
17.0,4.08,56.06,0.053,1,5,2,0.679,1,1,2,0.0,40,5,0
47.0,4.97,111.18,0.0,0,2,1,0.776,1,0,2,0.537,57,5,0
15.0,0.2,102.89,0.053,0,1,5,0.661,1,1,1,0.051,1,9,0
4.0,5.63,12.9,0.141,3,0,8,0.694,0,1,3,0.696,37,1,1
18.0,6.39,66.94,0.169,8,6,14,0.505,0,2,2,0.511,1,3,1
1.0,3.82,37.19,0.038,7,4,7,0.686,1,0,3,0.497,39,3,1
33.0,0.92,30.62,0.206,3,0,18,0.759,0,2,3,0.284,18,5,1
1.0,2.34,93.73,0.146,1,6,11,0.323,0,0,1,0.642,1,6,0
24.0,2.9,60.33,0.215,3,6,7,0.693,1,1,2,0.0,53,4,1
1.0,3.54,70.0,0.0,1,1,9,1.0,0,1,2,0.496,1,5,0
20.0,3.04,51.56,0.125,0,2,2,0.493,1,2,3,0.315,85,9,0
44.0,3.56,87.96,0.149,2,4,7,0.634,0,1,1,0.376,16,9,0
28.0,2.82,98.74,0.0,6,5,7,0.448,1,1,3,0.297,93,9,0
14.0,3.53,150.96,0.293,1,0,9,0.848,0,0,3,0.491,43,5,1
24.0,2.08,68.67,0.049,1,5,6,0.701,0,0,2,0.184,28,5,0
24.0,2.32,24.31,0.144,1,3,11,0.586,1,3,3,0.645,1,6,0
30.0,1.85,57.36,0.174,4,6,1,0.762,1,1,1,0.065,12,5,1
8.0,6.83,104.65,0.108,5,5,15,0.79,0,2,2,0.37,56,6,0
31.0,5.93,47.96,0.211,0,3,8,0.367,0,1,1,0.413,97,9,0
1.0,4.11,23.13,0.26,1,6,13,0.692,0,0,2,0.332,60,6,1
16.0,5.65,48.69,0.011,5,0,14,0.672,1,3,2,0.058,101,6,0
18.0,4.6,56.33,0.109,1,2,9,0.602,1,0,2,0.108,1,4,0
32.0,3.36,37.11,0.173,6,0,13,0.602,0,1,1,0.229,94,4,1
24.0,0.0,82.61,0.0,4,1,10,0.762,1,0,3,0.035,1,10,0
7.0,2.48,72.23,0.185,7,1,10,0.317,0,2,2,0.695,1,6,1
12.0,2.33,102.64,0.237,1,0,5,0.502,0,1,2,0.288,28,6,1
26.0,0.73,59.39,0.203,4,6,15,0.624,0,0,1,0.481,4,2,1
23.0,0.03,94.53,0.135,4,5,9,0.495,0,2,3,0.431,1,7,1
17.0,3.99,57.77,0.223,5,1,16,0.584,1,1,3,0.767,92,6,1
18.0,3.65,35.46,0.129,3,0,1,0.534,0,0,3,0.0,24,3,1
32.0,0.67,55.99,0.0,5,1,4,0.811,0,1,2,0.377,78,4,1
18.0,1.51,18.36,0.058,0,3,1,0.601,1,0,3,0.222,115,4,1
23.0,5.32,137.59,0.08,2,7,15,0.947,0,0,2,0.391,23,9,0
50.0,1.24,79.99,0.095,0,1,12,0.601,0,1,1,0.436,19,10,0
7.0,3.34,47.16,0.092,1,6,1,0.82,0,0,3,0.344,81,7,0
2.0,2.62,61.78,0.073,0,1,3,0.713,0,2,3,0.538,92,9,0
33.0,4.01,10.0,0.118,3,5,1,0.889,1,2,1,0.672,62,3,1
16.0,1.29,125.2,0.22,5,5,14,0.537,1,3,1,0.194,13,5,1
20.0,3.18,121.78,0.117,4,5,15,0.645,0,1,1,0.0,56,5,0
15.0,3.34,78.76,0.15,4,0,5,0.34,1,1,3,0.356,24,6,1
21.0,3.46,86.18,0.0,2,2,1,0.315,0,0,1,0.708,17,5,0
43.0,3.16,30.63,0.11,2,5,1,0.773,1,1,2,0.413,1,6,1
34.0,3.69,33.18,0.187,0,0,16,0.454,0,0,2,0.46,71,7,0
34.0,7.38,15.59,0.2,0,5,15,0.801,0,1,1,0.24,1,6,0
7.0,8.12,69.36,0.192,0,0,17,0.593,0,0,2,0.0,86,7,0
10.0,1.72,112.14,0.124,0,0,7,0.782,1,0,3,0.053,1,6,0
1.0,0.0,61.59,0.133,5,1,1,0.762,0,0,1,0.007,70,9,1
14.0,4.19,87.17,0.046,0,1,11,0.113,0,1,1,0.283,38,4,0
35.0,3.37,109.26,0.168,0,4,5,0.543,0,0,2,0.489,17,8,0
30.0,5.12,18.16,0.047,1,4,19,0.391,1,2,3,0.366,72,9,0
21.0,3.57,139.59,0.154,6,3,12,0.0,0,0,2,0.0,65,7,0
24.0,3.12,115.51,0.103,2,0,9,0.465,1,4,2,0.292,39,5,0
16.0,5.26,92.99,0.101,2,7,6,0.272,1,1,1,0.742,25,10,0
26.0,5.54,107.34,0.18,3,3,16,0.593,0,0,2,0.521,52,3,0
33.0,0.23,108.99,0.145,6,6,4,0.449,1,0,2,0.0,103,5,1
5.0,1.37,85.24,0.123,2,0,1,0.702,0,1,3,0.458,109,4,1
28.0,2.79,124.99,0.06,0,5,8,0.618,1,0,3,0.728,29,10,0
35.0,3.2,59.16,0.228,2,1,15,0.783,0,0,2,0.173,1,5,0
19.0,2.55,91.16,0.127,6,5,18,0.772,0,1,3,0.0,48,2,1
32.0,3.87,121.26,0.16,4,8,1,0.768,0,2,2,0.38,64,5,0
58.0,4.99,10.0,0.106,3,0,16,0.662,0,0,2,0.342,59,8,0
23.0,6.45,90.33,0.045,3,6,8,0.531,0,0,3,0.105,117,10,0
29.0,4.16,100.36,0.128,0,1,13,0.502,0,0,2,0.36,74,6,0
15.0,1.3,15.2,0.052,0,0,1,0.463,1,2,2,0.149,60,6,0
26.0,2.71,84.86,0.135,5,6,6,0.56,1,1,2,0.55,51,6,0
30.0,2.85,47.22,0.0,6,8,12,0.776,1,1,1,0.301,1,9,0
26.0,4.03,88.89,0.068,0,9,8,0.794,1,1,2,0.0,15,6,0
12.0,3.78,71.68,0.099,3,4,7,0.294,1,0,2,0.0,3,8,0
26.0,7.1,41.88,0.024,4,0,6,0.639,0,3,1,0.29,8,6,0
42.0,2.08,113.84,0.129,7,2,8,0.613,0,2,2,0.136,102,4,1
29.0,3.77,60.36,0.066,2,3,8,0.39,1,0,2,0.091,1,6,0
36.0,7.71,84.45,0.1,4,6,1,0.752,1,3,3,0.275,97,8,0
21.0,1.83,120.99,0.056,8,3,5,0.985,0,0,3,0.145,53,4,1
33.0,3.29,42.92,0.178,1,0,12,0.513,0,1,1,0.0,1,9,1
27.0,1.11,75.28,0.144,2,5,7,0.593,0,0,2,0.054,1,5,0
13.0,3.16,57.66,0.124,0,3,11,0.705,0,4,2,0.237,42,8,0
28.0,1.44,65.47,0.105,0,6,7,1.0,1,1,2,0.438,9,8,0
12.0,5.09,150.46,0.302,5,4,5,0.779,0,0,2,0.004,1,5,1
16.0,3.29,90.99,0.087,6,5,14,0.469,0,2,2,0.0,23,3,0
26.0,1.13,85.98,0.044,5,3,12,0.447,1,0,2,0.609,26,7,0
28.0,4.68,93.34,0.006,0,4,7,0.6,0,0,1,0.0,14,6,0
10.0,3.36,90.06,0.172,1,0,13,0.585,0,3,1,0.148,1,5,1
37.0,4.91,11.1,0.23,3,4,12,0.754,0,0,2,0.623,1,5,1
31.0,0.7,155.39,0.032,0,2,5,0.6,1,3,2,0.683,1,10,0
16.0,3.74,23.75,0.077,3,4,9,0.643,1,0,2,0.326,55,9,0
6.0,4.55,135.64,0.071,8,0,10,0.449,1,1,2,0.228,67,4,1
22.0,2.15,96.63,0.09,5,7,11,0.571,1,1,2,0.125,84,5,1
19.0,0.48,81.33,0.0,0,4,19,0.698,0,1,3,0.497,80,8,0
25.0,2.92,64.31,0.165,3,5,12,1.0,1,3,2,0.62,72,7,1
20.0,5.46,166.18,0.195,3,3,12,0.593,0,0,3,0.0,86,9,0
1.0,5.25,96.16,0.0,3,5,1,0.655,1,1,3,0.0,9,10,0
19.0,2.14,75.62,0.241,2,0,24,0.501,0,0,1,0.302,38,1,1
20.0,0.43,56.27,0.229,1,3,1,0.444,0,0,3,0.412,9,3,1
32.0,2.14,52.07,0.0,0,1,5,0.702,0,0,2,0.7,61,5,0
16.0,2.06,76.77,0.0,3,2,5,0.695,0,2,1,0.514,74,9,0
44.0,3.89,42.43,0.089,4,6,6,0.338,0,0,3,0.0,1,4,0
1.0,2.79,98.79,0.205,0,0,3,0.327,1,1,3,0.0,49,4,1
40.0,1.49,52.4,0.123,6,5,1,0.791,1,0,1,0.159,56,5,1
21.0,5.21,110.17,0.102,0,4,15,0.446,0,2,2,0.0,45,10,0
34.0,3.28,109.39,0.146,0,7,5,0.628,1,0,3,0.0,54,7,0
25.0,3.87,73.06,0.035,2,0,1,0.658,0,1,1,0.112,97,9,0
38.0,0.0,95.31,0.202,0,5,6,0.633,1,1,1,0.548,1,2,1
19.0,0.0,97.06,0.092,5,4,11,0.55,0,0,3,0.325,1,9,1
11.0,0.12,23.82,0.0,1,3,1,0.729,0,0,2,0.391,1,4,0
41.0,2.04,135.61,0.036,6,7,12,0.838,1,1,3,0.0,14,5,0
23.0,4.15,66.05,0.13,0,0,10,0.6,1,1,3,0.492,36,6,0
27.0,0.0,99.35,0.077,2,3,3,0.322,0,2,2,0.405,3,8,0
39.0,6.19,100.33,0.069,0,6,10,0.374,1,0,2,0.389,67,8,0
12.0,3.34,10.0,0.116,2,0,18,0.883,0,0,2,0.219,1,7,0
31.0,5.72,52.01,0.129,2,5,8,0.444,1,0,1,0.173,23,6,0
17.0,1.23,104.41,0.002,6,4,5,0.79,0,1,1,0.243,60,5,1
22.0,4.01,77.18,0.198,0,0,3,0.332,1,0,1,0.16,46,9,0
25.0,3.17,99.11,0.09,1,6,19,0.349,1,1,1,0.436,1,8,0
6.0,4.64,78.23,0.134,6,0,7,0.687,0,2,2,0.213,3,5,1
15.0,2.53,118.03,0.108,7,8,7,0.456,0,0,3,0.086,21,8,1
40.0,3.95,78.99,0.067,0,5,13,0.864,0,0,1,0.103,27,5,0
35.0,5.2,124.84,0.173,0,4,11,0.595,1,2,2,0.434,28,7,0
23.0,1.7,40.7,0.106,0,6,1,0.42,1,0,2,0.0,96,7,0
27.0,3.48,70.53,0.106,0,6,9,0.349,0,1,2,0.278,30,7,0
20.0,0.0,54.23,0.0,1,0,5,0.973,0,3,2,0.0,33,8,1
40.0,4.41,88.6,0.166,0,0,15,0.561,0,2,1,0.282,1,10,0
22.0,6.91,65.25,0.086,8,3,1,0.582,1,0,2,0.218,1,3,0
27.0,0.51,66.97,0.16,3,0,13,0.556,1,2,2,0.243,49,8,1
38.0,2.82,50.33,0.232,1,8,1,0.643,0,1,2,0.515,6,3,0
15.0,4.76,58.87,0.166,4,0,12,0.645,1,1,2,0.0,52,9,0
43.0,3.06,74.64,0.104,5,3,13,0.606,1,3,2,0.354,63,6,1
6.0,3.33,10.0,0.077,6,5,3,0.253,1,2,3,0.328,50,5,1
44.0,2.22,10.0,0.302,3,10,13,0.747,0,0,2,0.364,50,6,1
20.0,2.14,77.07,0.139,2,6,7,0.549,0,1,3,0.711,61,7,1
21.0,2.83,10.0,0.117,2,1,1,0.812,1,0,3,0.0,141,2,1
1.0,3.08,68.24,0.085,2,5,10,0.928,0,0,2,0.401,22,9,0
19.0,0.64,61.8,0.028,0,5,3,0.597,1,0,1,0.749,16,8,0
12.0,2.87,93.97,0.0,5,5,14,0.636,1,2,3,0.234,1,5,0
17.0,6.14,51.48,0.222,1,0,16,0.535,0,1,1,0.226,58,9,0
22.0,2.16,129.93,0.038,0,9,6,0.337,0,1,1,0.689,55,5,0
35.0,0.53,104.69,0.085,2,0,1,0.888,0,4,3,0.561,36,5,1
26.0,2.7,22.07,0.092,4,5,8,0.522,1,1,2,0.556,77,4,1
28.0,1.57,65.05,0.215,0,0,12,0.643,1,1,3,0.262,32,8,0
11.0,0.32,128.45,0.039,1,4,4,0.255,0,0,1,0.507,1,9,0
13.0,3.28,50.58,0.121,0,2,11,0.38,0,1,2,0.123,98,5,0
46.0,1.58,73.15,0.141,9,0,13,0.15,0,1,2,0.0,1,3,1
15.0,1.75,124.14,0.0,2,0,15,0.629,0,2,3,0.0,1,7,0
44.0,3.31,56.08,0.0,7,6,10,0.419,0,0,2,0.214,1,7,0
21.0,0.0,114.3,0.043,3,1,1,0.506,1,0,3,0.38,56,6,0
24.0,0.0,43.15,0.119,3,3,6,0.628,0,0,1,0.262,72,2,1
37.0,4.34,10.0,0.109,2,8,7,0.293,1,1,3,0.041,125,8,0
39.0,0.0,118.0,0.09,1,5,9,0.49,0,1,3,0.571,78,6,0
23.0,1.05,90.36,0.152,2,0,1,0.646,1,1,3,0.019,1,4,1
19.0,0.0,92.66,0.031,0,0,3,0.626,1,1,2,0.047,17,10,0
23.0,2.03,36.75,0.086,2,0,7,0.163,1,0,3,0.137,42,6,0
28.0,3.86,39.53,0.091,0,0,11,0.685,1,1,2,0.28,49,9,0
35.0,3.22,115.27,0.034,3,2,22,0.373,0,0,3,0.268,1,9,0
24.0,7.78,83.51,0.284,0,11,12,0.638,1,0,3,0.112,1,7,0
31.0,5.17,70.89,0.0,2,6,2,0.641,1,1,1,0.271,1,8,0
44.0,1.14,82.73,0.199,3,4,3,0.875,0,1,3,0.155,130,6,1
29.0,0.61,127.8,0.164,6,4,4,0.6,1,1,3,0.224,73,6,1
28.0,8.41,100.33,0.165,3,4,6,0.508,1,0,1,0.569,19,6,0
6.0,5.13,58.39,0.108,1,0,9,0.395,1,1,1,0.124,1,10,0
1.0,4.18,25.88,0.207,0,0,2,0.671,1,0,1,0.001,1,6,0
29.0,3.15,95.58,0.064,4,4,7,0.306,0,2,2,0.142,5,10,0
23.0,3.55,42.66,0.131,2,3,7,0.448,1,0,2,0.317,31,5,0
18.0,0.04,33.62,0.106,0,4,10,0.003,0,1,2,0.863,46,7,0
27.0,3.31,121.05,0.081,2,8,6,0.3,0,1,3,0.0,44,6,0
23.0,3.14,105.53,0.11,0,1,3,0.786,0,0,2,0.43,33,9,0
38.0,1.19,88.5,0.024,2,2,4,0.426,0,2,1,0.563,7,3,0
25.0,1.92,31.66,0.047,0,4,10,0.533,1,1,2,0.585,26,7,0
15.0,6.03,137.62,0.226,1,0,4,0.412,0,2,2,0.193,82,10,0
36.0,2.75,111.01,0.331,8,0,12,0.806,0,2,2,0.23,1,3,1
21.0,7.14,64.37,0.142,1,7,10,0.522,0,0,2,0.188,108,8,0
30.0,0.0,56.97,0.167,4,2,1,0.606,1,0,3,0.518,1,5,1
18.0,1.96,77.75,0.12,5,2,15,0.441,1,2,3,0.331,1,5,1
16.0,0.0,58.26,0.136,5,4,8,0.998,1,2,2,0.573,56,5,1
25.0,0.58,152.41,0.144,3,0,4,0.327,1,1,2,0.245,33,5,0
24.0,1.34,61.51,0.183,0,2,19,0.491,0,0,1,0.159,49,7,0
30.0,3.63,37.62,0.223,0,1,8,0.882,0,2,3,0.0,61,4,1
21.0,3.53,130.59,0.029,0,4,10,0.567,0,0,2,0.834,19,9,0
2.0,1.64,55.08,0.326,1,0,8,0.688,0,1,2,0.0,47,4,1
19.0,0.0,102.53,0.111,1,1,17,0.725,1,0,2,0.0,14,5,0
34.0,5.96,98.64,0.111,0,2,19,0.706,1,2,1,0.0,147,10,0
20.0,2.43,72.95,0.067,4,2,10,0.819,1,4,3,0.379,10,4,1
21.0,0.77,40.95,0.067,1,6,8,0.756,0,3,2,0.15,59,8,1
36.0,3.55,73.31,0.149,1,1,14,0.211,0,0,2,0.752,1,7,0
15.0,3.41,34.05,0.151,0,12,5,0.746,1,2,1,0.066,118,10,0
5.0,2.35,74.17,0.145,2,5,9,0.524,0,1,2,0.277,29,6,1
22.0,3.3,102.05,0.064,2,2,4,0.699,0,0,1,0.0,1,3,0
18.0,0.69,135.12,0.0,0,5,19,0.365,1,0,2,0.497,1,3,0
12.0,4.52,36.93,0.0,3,5,15,0.753,1,0,2,0.0,74,6,0
22.0,1.01,66.23,0.101,2,2,19,0.513,1,1,3,0.111,1,6,0
30.0,1.79,56.63,0.127,4,6,5,0.506,0,0,3,0.0,1,4,1
24.0,4.3,84.58,0.066,4,0,13,0.77,0,2,3,0.297,54,4,0
28.0,5.41,21.74,0.045,4,5,11,0.488,0,0,1,0.0,25,4,0
46.0,6.17,42.5,0.124,7,3,10,0.601,1,2,3,0.186,13,1,1
20.0,5.11,15.78,0.091,2,4,18,0.627,1,0,3,0.204,76,8,0
27.0,2.35,24.66,0.062,0,4,3,0.651,1,0,2,0.22,1,7,0
18.0,0.0,51.88,0.0,1,3,4,0.535,1,0,2,0.0,63,8,0
14.0,5.81,133.48,0.032,1,9,5,0.533,0,1,2,0.182,3,4,0
17.0,5.74,87.17,0.175,0,1,1,0.5,1,1,1,0.0,31,10,0
18.0,1.66,77.27,0.023,0,1,1,0.775,0,3,2,0.135,75,5,0
28.0,4.84,122.14,0.153,3,3,7,0.63,1,1,2,0.156,48,7,0
52.0,2.34,88.43,0.211,2,7,12,0.793,1,3,3,0.286,53,5,1
15.0,6.0,91.72,0.037,8,3,7,0.751,0,0,2,0.196,37,5,0
19.0,1.97,58.44,0.064,8,3,3,0.734,1,1,1,0.212,65,8,1
23.0,6.96,52.69,0.179,4,1,15,0.501,0,0,2,0.423,42,9,0
29.0,4.57,29.11,0.199,4,2,1,0.616,1,1,3,0.233,49,3,1
27.0,6.6,53.96,0.048,0,6,1,0.213,0,0,2,0.0,1,10,0
39.0,2.07,65.18,0.0,3,3,1,0.297,0,0,2,0.234,15,7,0
